Employee_Number,Age,CF_age_band,Gender,Marital_Status,Department,Job_Role,Job_Level,Education,Education_Field,Total_Working_Years,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Job_Satisfaction,Environment_Satisfaction,Relationship_Satisfaction,Work_Life_Balance,Job_Involvement,Performance_Rating,Over_Time,Business_Travel,Distance_From_Home,Training_Times_Last_Year,Num_Companies_Worked,Attrition,CF_attrition_label,CF_current_Employee,Hourly_Rate,Daily_Rate,Monthly_Rate,Employee_Count,Standard_Hours,Over18
STAFF-1,39,35 - 44,Male,Single,HR,HR Manager,1,Bachelor's Degree,Medical,16,2,1,0,1,6381,13,0,1,2,4,4,2,3,No,Non-Travel,38,1,6,No,Current Employees,1,61,820,7876,1,80,Y
STAFF-2,29,25 - 34,Female,Married,HR,Recruiter,1,Bachelor's Degree,Medical,7,0,0,0,0,8421,14,0,4,4,3,4,2,4,Yes,Travel_Rarely,1,3,1,Yes,Ex-Employees,0,89,865,19408,1,80,Y
STAFF-3,24,Under 25,Male,Divorced,Sales,Manager,2,Master's Degree,Medical,0,0,0,0,0,8422,7,0,3,1,4,1,4,3,Yes,Non-Travel,13,2,3,No,Current Employees,1,86,1240,9380,1,80,Y
STAFF-4,44,35 - 44,Male,Married,Marketing,Content Creator,1,Associates Degree,Other,30,2,0,0,2,8176,15,0,3,1,3,3,3,4,Yes,Travel_Rarely,1,0,1,Yes,Ex-Employees,0,77,950,20790,1,80,Y
STAFF-5,37,35 - 44,Male,Divorced,Finance,Accountant,1,Associates Degree,Life Sciences,16,6,0,0,0,7691,10,0,1,4,1,1,3,3,No,Non-Travel,6,0,1,Yes,Ex-Employees,0,48,224,14867,1,80,Y
STAFF-6,35,35 - 44,Female,Divorced,Marketing,Content Creator,2,Master's Degree,Life Sciences,25,0,0,0,0,8988,15,0,4,3,3,4,3,3,Yes,Travel_Rarely,3,5,1,Yes,Ex-Employees,0,54,1015,10242,1,80,Y
STAFF-7,29,25 - 34,Female,Married,Finance,Financial Analyst,1,Bachelor's Degree,Marketing,12,3,0,0,0,6516,19,0,2,2,3,3,4,3,No,Travel_Frequently,6,1,1,No,Current Employees,1,74,875,16732,1,80,Y
STAFF-8,28,25 - 34,Female,Single,Finance,Accountant,2,High School,Marketing,7,3,1,0,3,6098,16,1,1,1,4,1,3,3,Yes,Travel_Rarely,1,6,1,Yes,Ex-Employees,0,66,883,19135,1,80,Y
STAFF-9,35,35 - 44,Male,Divorced,Finance,Finance Manager,2,PhD,Technical Degree,20,2,0,0,0,8794,12,0,4,2,1,2,4,4,No,Non-Travel,1,0,1,No,Current Employees,1,82,397,6891,1,80,Y
STAFF-10,23,Under 25,Female,Married,HR,HR Specialist,1,High School,Marketing,7,6,2,1,2,5593,15,0,3,2,1,4,2,3,No,Travel_Rarely,5,0,1,Yes,Ex-Employees,0,47,525,12724,1,80,Y
